architecture,checkpoint,stratum,band,capture,recovery,evidence_id,role
monolithic_LSTM,392002,S1,middle,0.9476545133624307,0.9033453353199339,E19,DESCRIPTIVE_ACCEPTED_TIME_BAND
monolithic_LSTM,392002,S1,late,0.8954910844236759,0.8088255564433355,E19,DESCRIPTIVE_ACCEPTED_TIME_BAND
monolithic_LSTM,392002,S2,early,0.9916584150003405,0.9970844490766357,E19,DESCRIPTIVE_ACCEPTED_TIME_BAND
monolithic_LSTM,392002,S2,middle,0.9586692126787247,0.9708707952788929,E19,DESCRIPTIVE_ACCEPTED_TIME_BAND
monolithic_LSTM,392002,S2,late,0.9133557608662899,0.9012229415298126,E19,DESCRIPTIVE_ACCEPTED_TIME_BAND
monolithic_LSTM,392003,S1,early,0.9967594482814569,0.9964648748430911,E19,DESCRIPTIVE_ACCEPTED_TIME_BAND
monolithic_LSTM,392003,S1,middle,0.9968026566238438,0.987235402486747,E19,DESCRIPTIVE_ACCEPTED_TIME_BAND
monolithic_LSTM,392003,S1,late,0.995915995744892,0.9773622752178523,E19,DESCRIPTIVE_ACCEPTED_TIME_BAND
monolithic_LSTM,392003,S2,early,0.9945972013824815,1.0018570683264938,E19,DESCRIPTIVE_ACCEPTED_TIME_BAND
monolithic_LSTM,392003,S2,middle,0.9766798118003277,0.9648219991122642,E19,DESCRIPTIVE_ACCEPTED_TIME_BAND
monolithic_LSTM,392003,S2,late,0.867814163533881,0.9212922609301775,E19,DESCRIPTIVE_ACCEPTED_TIME_BAND
