checkpoint,stratum,median_normalized_functional_recovery,complete_assay_pass
291405,S1,1.0335862712021564,False
291405,S2,0.9071524574602614,True
291406,S1,0.9539034957494279,True
291406,S2,0.9327403874046136,True
291407,S1,1.0019035091441524,True
291407,S2,0.8539406589820586,True
291410,S1,1.0106391896623343,True
291410,S2,0.9306730847612352,True
291411,S1,0.9477663151482937,True
291411,S2,0.9333056140478554,True
291412,S1,0.9728768921972095,True
291412,S2,0.9098372764393445,True
291413,S1,0.9540025789396598,True
291413,S2,0.9645140417620992,False
291415,S1,0.7441493408561712,True
291415,S2,0.9579438055878587,True
291416,S1,0.9208678926027696,True
291416,S2,0.9670640648628662,True
