checkpoint,release_k,fixed_entry_occupancy_median,transported_image_capture_median,unit_count,population,source_sha256
291402,1,0.042025574950553576,0.8687195364706017,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291402,2,0.0473270961344496,0.8750888219655185,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291402,3,0.05077334731949576,0.8848253715140025,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291402,4,0.060823132679656014,0.8859598680629304,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291402,5,0.059110060637138834,0.8731730553765683,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291402,6,0.03701692709110468,0.8531568566296862,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291402,7,0.01979339820761182,0.8468805603423963,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291402,8,0.013988474057965283,0.8452829031413195,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291402,9,0.012746297350594914,0.8442795804263196,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291402,10,0.01157104736096682,0.8557639734509475,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291402,11,0.0129682822657354,0.8679350067247236,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291402,12,0.014016769877885624,0.8778041738360578,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291403,1,0.13701125569699182,0.9024006420139182,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291403,2,0.13478937531649426,0.9014081264366226,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291403,3,0.12610573995045216,0.9013610547067228,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291403,4,0.12982335854198623,0.8961800365459305,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291403,5,0.13586274264050477,0.88679475243963,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291403,6,0.15557322156334824,0.8877745413515302,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291403,7,0.1561996354516158,0.8687306491058258,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
