checkpoint,stratum,median_E_local,median_C_R_midpoint,median_E_int32,median_I32_I16_relative,numerical_valid
291402,S1,0.41870611820360165,0.24066578830389723,1.787961783514283e-06,2.015282228590726e-06,True
291402,S2,1.158906915736073,0.5202290892927939,2.2385326175090946e-06,4.122722494563886e-05,True
291403,S1,0.24801350544392803,0.14382717222512414,1.2561353869176695e-06,4.6669720156166376e-07,True
291403,S2,0.8455275973556116,0.512394447000273,1.990179192065383e-06,2.678446910377274e-05,True
291404,S1,0.18882758804850192,0.07963293432461849,3.99798020341674e-06,1.2474715452841873e-07,True
291404,S2,0.6170871096871906,0.2790494749130188,2.5874138185048722e-06,1.998082695113344e-06,True
