checkpoint_seed,direction_family,direction_family_index,direction_index,direction_rng_seed_or_hash,direction_vector_or_lossless_reference,direction_vector_sha256,directional_cosine,epsilon_applied,epsilon_ref,g_actual,g_pred,gamma_local,producer_future_dtype,producer_predicted_dtype,record_index,route,stable_unit_id,stratum
291402,top_anchor_decoder,0,12,vector_sha256:07D8CF4D92ABAE9D3FA235D43E5CC91244E080D056228ED774D71A7A580A5D54,causal_direction_vectors.npz:direction_vectors[12],07D8CF4D92ABAE9D3FA235D43E5CC91244E080D056228ED774D71A7A580A5D54,0.9999998033168632,0.6498769760131836,6.498769760131836,0.7050244212150574,0.704201493144585,0.1,float32,float64,12,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,top_anchor_decoder,1,13,vector_sha256:7FF6E3DD9F86799AB96176AA85599D1A8D75F0C359428A30DDAA6ED493E62E17,causal_direction_vectors.npz:direction_vectors[13],7FF6E3DD9F86799AB96176AA85599D1A8D75F0C359428A30DDAA6ED493E62E17,0.9999998332045921,0.6498769760131836,6.498769760131836,0.45131954550743103,0.45068896392876506,0.1,float32,float64,13,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,top_anchor_decoder,2,14,vector_sha256:51AB870070E8EBAE6C135D98259E43D5A6088EFFA4017189F9EEE10BF22A1247,causal_direction_vectors.npz:direction_vectors[14],51AB870070E8EBAE6C135D98259E43D5A6088EFFA4017189F9EEE10BF22A1247,0.9999394090770052,0.6498769760131836,6.498769760131836,0.2846800684928894,0.27669305493822094,0.1,float32,float64,14,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,top_anchor_decoder,3,15,vector_sha256:9B169360AEC13797CB27852EE4FD67D403E2C8253CBBCBFEB962385E34782015,causal_direction_vectors.npz:direction_vectors[15],9B169360AEC13797CB27852EE4FD67D403E2C8253CBBCBFEB962385E34782015,0.9999994227322654,0.6498769760131836,6.498769760131836,0.3845843970775604,0.3844251525476273,0.1,float32,float64,15,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,Paper1_U4,0,16,vector_sha256:7E37C7C1D15FE05D61D923C395E9CA3AA354ED9AF23616DB84B2C91CAE5A944F,causal_direction_vectors.npz:direction_vectors[16],7E37C7C1D15FE05D61D923C395E9CA3AA354ED9AF23616DB84B2C91CAE5A944F,0.9999769093270422,0.6498769760131836,6.498769760131836,0.23088647425174713,0.2293814931930079,0.1,float32,float64,16,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,Paper1_U4,1,17,vector_sha256:27C9802A3664F2B0B5E38ED0FD9BC450FFAB35DF8ADC3EFEE3F4ED96D7581D7A,causal_direction_vectors.npz:direction_vectors[17],27C9802A3664F2B0B5E38ED0FD9BC450FFAB35DF8ADC3EFEE3F4ED96D7581D7A,0.9994089264111347,0.6498769760131836,6.498769760131836,0.16145721077919006,0.1352158103531675,0.1,float32,float64,17,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,Paper1_U4,2,18,vector_sha256:D829EFE3FF3AD30C121939D12090A6BCDFF42FAF2578188C4CEC2CA67B88F200,causal_direction_vectors.npz:direction_vectors[18],D829EFE3FF3AD30C121939D12090A6BCDFF42FAF2578188C4CEC2CA67B88F200,0.9999992554038662,0.6498769760131836,6.498769760131836,0.2797212600708008,0.28027226938951927,0.1,float32,float64,18,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,Paper1_U4,3,19,vector_sha256:FF4BC474C0391E0019A8B019E7F77F78CB9298104073E6D1E206D5CD7C9F8E3A,causal_direction_vectors.npz:direction_vectors[19],FF4BC474C0391E0019A8B019E7F77F78CB9298104073E6D1E206D5CD7C9F8E3A,0.9999879321736155,0.6498769760131836,6.498769760131836,0.3440459072589874,0.3413572804191466,0.1,float32,float64,19,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,0,20,rng_seed:16974552329625796734,causal_direction_vectors.npz:direction_vectors[20],5256BD8EED080D96AD26DC8F9F9CD192DB96F9A3FC61933E67CB6EA9F41D311C,0.9999993160970995,0.6498769760131836,6.498769760131836,0.03640628606081009,0.036139752390143366,0.1,float32,float64,20,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,1,21,rng_seed:4635290224149907642,causal_direction_vectors.npz:direction_vectors[21],4D4CECB37B0CC2BB4419F784643E7798845586108AD3935B23C8EFD9E5FB2596,0.9999997235137705,0.6498769760131836,6.498769760131836,0.03546561300754547,0.03535673717934427,0.1,float32,float64,21,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,2,22,rng_seed:9424251814756640591,causal_direction_vectors.npz:direction_vectors[22],8A71C4BD3ED043D965C81B03A774545C8E177870A8FD37D9527E5835344AA304,0.9999995671381241,0.6498769760131836,6.498769760131836,0.04546463489532471,0.04538781691546624,0.1,float32,float64,22,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,3,23,rng_seed:12907101161073837867,causal_direction_vectors.npz:direction_vectors[23],198DF0973C42ABB9017B8052803F6465DC5DD88465BE1F59A7A794631B935071,0.9999978144958285,0.6498769760131836,6.498769760131836,0.03206446394324303,0.03158127566568615,0.1,float32,float64,23,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,4,24,rng_seed:7286503626300919578,causal_direction_vectors.npz:direction_vectors[24],EAC0CE0FDBF3DDB3748C7C38A807A7FEF8A8C5018F6C6B74F11AF15E088CD9C9,0.9999868899954,0.6498769760131836,6.498769760131836,0.019484857097268105,0.01896671218440384,0.1,float32,float64,24,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,5,25,rng_seed:14776185883122657492,causal_direction_vectors.npz:direction_vectors[25],F68A5282CEAB7EAB8F59ECD6A5A117799E598A1F729433D61458F57209E96DE6,0.9999934834500442,0.6498769760131836,6.498769760131836,0.01551835797727108,0.015085456413602349,0.1,float32,float64,25,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,6,26,rng_seed:6365829527614142692,causal_direction_vectors.npz:direction_vectors[26],F66DE16F66BB37975C344D37A7FEE5B2ABC0EA371675AB3647102A0B27130938,0.9999912786921439,0.6498769760131836,6.498769760131836,0.0260572861880064,0.025812603556000496,0.1,float32,float64,26,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,7,27,rng_seed:11839375321445940643,causal_direction_vectors.npz:direction_vectors[27],081D6030368DE7121B6B31BE5A3D500F1927D67F00AA2A51F1D93F92B8047299,0.9999993702389958,0.6498769760131836,6.498769760131836,0.034145988523960114,0.03394984969563395,0.1,float32,float64,27,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,8,28,rng_seed:17252911035423912302,causal_direction_vectors.npz:direction_vectors[28],44EC7AEC36E0C36117427D332AF792E90BA70BBC22816C05BCECAAE5AC8D7ACF,0.9999960200719603,0.6498769760131836,6.498769760131836,0.045395467430353165,0.04505249799934388,0.1,float32,float64,28,CF,W29U_2B98D8963199CEBD39881CF3,S1
