checkpoint,stratum,median_Delta_align,median_Delta_d,median_d_R_F_CF,alignment_checkpoint_support,causal_CF_median_Spearman,causal_P_median_Spearman,causal_checkpoint_support,median_E_local,median_C_R_midpoint,median_E_int32,median_I32_I16_relative,path_numerical_validity,full_dose_checkpoint_support,source,source_fields,support_rule_source,notes
291402,S1,0.0920489386849993,0.13210965932252214,0.4998858493418663,True,0.99974387432767,0.999786561939725,True,0.41870611820360165,0.24066578830389723,1.787961783514283e-06,2.015282228590726e-06,True,True,external-artifact/RAW_RECOMPUTATION.json,/reconstructed_summary/alignment_cells/0;/reconstructed_summary/dose_cells/0;/reconstructed_summary/causal_cells/0;/reconstructed_summary/causal_cells/1,external-artifact/DECISION_RULE_CONTRACT.json,Delta_d supporting only
291402,S2,0.08192452720326715,0.6778326259419575,1.1226685692330396,True,0.999615811491505,0.9995304362673951,True,1.158906915736073,0.5202290892927939,2.2385326175090946e-06,4.122722494563886e-05,True,True,external-artifact/RAW_RECOMPUTATION.json,/reconstructed_summary/alignment_cells/1;/reconstructed_summary/dose_cells/1;/reconstructed_summary/causal_cells/2;/reconstructed_summary/causal_cells/3,external-artifact/DECISION_RULE_CONTRACT.json,Delta_d supporting only
291403,S1,0.09612783915317691,0.17058325126082685,0.4296284982711141,True,0.9995731238794501,0.9996584991035601,True,0.24801350544392803,0.14382717222512414,1.2561353869176695e-06,4.6669720156166376e-07,True,True,external-artifact/RAW_RECOMPUTATION.json,/reconstructed_summary/alignment_cells/2;/reconstructed_summary/dose_cells/2;/reconstructed_summary/causal_cells/4;/reconstructed_summary/causal_cells/5,external-artifact/DECISION_RULE_CONTRACT.json,Delta_d supporting only
291403,S2,0.09752809005670537,0.44439674877943747,1.096577243237721,True,0.999615811491505,0.999615811491505,True,0.8455275973556116,0.512394447000273,1.990179192065383e-06,2.678446910377274e-05,True,True,external-artifact/RAW_RECOMPUTATION.json,/reconstructed_summary/alignment_cells/3;/reconstructed_summary/dose_cells/3;/reconstructed_summary/causal_cells/6;/reconstructed_summary/causal_cells/7,external-artifact/DECISION_RULE_CONTRACT.json,Delta_d supporting only
291404,S1,0.0043430834812842045,-0.00635308331003219,0.4089841159464872,True,0.9998719371638352,0.9998719371638352,True,0.18882758804850192,0.07963293432461849,3.99798020341674e-06,1.2474715452841873e-07,True,False,external-artifact/RAW_RECOMPUTATION.json,/reconstructed_summary/alignment_cells/4;/reconstructed_summary/dose_cells/4;/reconstructed_summary/causal_cells/8;/reconstructed_summary/causal_cells/9,external-artifact/DECISION_RULE_CONTRACT.json,291404 S1: C_R(.5)<=.10 and supporting Delta_d<=0
291404,S2,0.0062777582370582286,0.05492332907914926,1.0602388603477877,True,0.9995304362673951,0.9994023734312303,True,0.6170871096871906,0.2790494749130188,2.5874138185048722e-06,1.998082695113344e-06,True,False,external-artifact/RAW_RECOMPUTATION.json,/reconstructed_summary/alignment_cells/5;/reconstructed_summary/dose_cells/5;/reconstructed_summary/causal_cells/10;/reconstructed_summary/causal_cells/11,external-artifact/DECISION_RULE_CONTRACT.json,Delta_d supporting only
