Delta_align,Delta_d,S_sub_F_CF,S_sub_P_CF,checkpoint,d_R_F_CF,d_R_P_CF,r_CF,r_F,r_P,stratum,unit_id
0.34415427098721346,0.33359688553615685,0.41807673268564655,0.76223100367286,291402,0.8875941593311782,0.5539972737950214,4,3,4,S1,W29U_2B98D8963199CEBD39881CF3
0.01907727275545179,0.04288839415993323,0.9754615680301215,0.9945388407855733,291402,0.13007020481678808,0.08718181065685485,4,3,4,S1,W29U_11EACAC0A69B433BE5335374
0.005639294216509327,0.07390086282209016,0.9906481405035592,0.9962874347200685,291402,0.15370350928541485,0.07980264646332469,3,3,3,S1,W29U_CDB45AA59812E048F89D1FEF
0.008465557753781994,0.06001380909397448,0.9864704873341695,0.9949360450879515,291402,0.15526775034537937,0.09525394125140489,3,3,3,S1,W29U_D8CFC7B512CCF79D00E3DA72
0.08167666872411472,0.19692382013284673,0.9069622533520754,0.9886389220761901,291402,0.3055050501404774,0.10858123000763067,4,3,4,S1,W29U_0C150BD91825DDE5B26260D3
0.13815632795673505,0.2752820223590283,0.6267650765680687,0.7649214045248037,291402,0.8036526592739958,0.5283706369149674,3,3,4,S1,W29U_2F5C149851D9AB038AA06566
-0.07606985428223356,-0.08767881793958582,0.8223167703592117,0.7462469160769781,291402,0.46265487138145694,0.5503336893210428,3,3,3,S1,W29U_A3B6D3BDB73A7B2D4AE044E2
0.27993463038431843,0.07410715719592764,0.5508599582152385,0.8307945885995569,291402,0.845363200767159,0.7712560435712313,4,3,3,S1,W29U_AC8C1DB17FDD8141A366E8D2
0.012921309465124264,0.16307251410922569,0.9455641635040183,0.9584854729691425,291402,0.35428955995023903,0.19121704584101334,3,3,3,S1,W29U_B1AA4B604A313D5010E1A61F
-0.12396452499300725,-0.06035046070833783,0.8383629358693545,0.7143984108763473,291402,0.5036404409264246,0.5639909016347624,4,3,4,S1,W29U_4BC3ADADD4685C9154124B37
0.3236833781099393,0.5367452221273226,0.628721221701889,0.9524045998118283,291402,0.8374189193043666,0.3006736971770441,3,3,4,S1,W29U_62F02A00E48B9E836FA9D0FE
0.1719499812383133,0.2976579469843238,0.7543641089237928,0.9263140901621061,291402,0.5565737139500672,0.25891576696574337,4,3,4,S1,W29U_E53925AE8D426CFBA11CA56F
0.1978277575963675,0.41510813012938935,0.7120120653513836,0.9098398229477511,291402,0.7632643338977322,0.34815620376834283,3,3,3,S1,W29U_5E9585B5B6DBFD2154636B70
0.131214446222787,0.1425333122827202,0.7138758005571164,0.8450902467799034,291402,0.5476719797616856,0.4051386674789654,3,3,3,S1,W29U_E9525766D7F0FD19E74D6A7E
0.3015139263354827,0.1608301156522952,0.5345438197639398,0.8360577460994225,291402,0.8798190485934502,0.718988932941155,4,3,3,S1,W29U_BA70175A76438B66A59B5FB8
0.2997723433502748,0.0765177394679617,0.5277415692175542,0.827513912567829,291402,0.8425349112490358,0.7660171717810741,4,3,3,S1,W29U_A972A9FE615861DB83C1C26E
-0.11748370142464648,-0.055397962899804865,0.8488741891904786,0.7313904877658322,291402,0.4961312577573081,0.551529220657113,4,3,4,S1,W29U_D72E64A6FE3FD6481A8DD4F3
-0.005337503530357002,-0.05134546731540099,0.9805524501730446,0.9752149466426876,291402,0.1854839750992552,0.2368294424146562,3,3,3,S1,W29U_AAD068AB87B51FB466F1641F
0.4058747787675373,0.5937858287532842,0.5607663065670008,0.9666410853345381,291402,0.762403706866718,0.16861787811343376,4,3,4,S1,W29U_6CFF1D75487CD3A42D913977
0.40258548620360635,0.4614860234704581,0.5636269967350566,0.9662124829386629,291402,0.6905727277122025,0.22908670424174438,4,3,4,S1,W29U_E39EA8A21758C10BCC5F4B25
0.004973204960913691,0.06438447143480419,0.9643598732156414,0.9693330781765551,291402,0.2833413912388385,0.2189569198040343,3,3,3,S1,W29U_C886BB9C0B293A1ED9758B14
-0.11952250055850355,-0.06661200643532006,0.837729936912492,0.7182074363539884,291402,0.49501372957322365,0.5616257360085437,3,3,4,S1,W29U_A5910054BB855156E9B32F8C
0.019509108018443078,0.039359944845558034,0.9741683078383814,0.9936774158568245,291402,0.1346120702915709,0.09525212544601287,4,3,4,S1,W29U_2A89DC488AD15CBE1249ED0D
0.07081593837673217,0.284722136468931,0.9228788254735013,0.9936947638502335,291402,0.4100962575344859,0.1253741210655549,3,3,3,S1,W29U_9D11D773ABD3D5DDFD96D857
-0.27410964576313246,-0.11964174099638669,0.8654331369769267,0.5913234912137942,291402,0.5568746370332861,0.6765163780296728,3,3,4,S1,W29U_B52BC9EA0A5865F529FD944F
-0.2903285974358708,-0.12501878694961116,0.9275490309304383,0.6372204334945675,291402,0.479042670081505,0.6040614570311161,3,3,4,S1,W29U_994622A6D5AD3781B8DCA5E7
0.1930422604732852,0.2701539016080373,0.6722793132708051,0.8653215737440904,291402,0.7713727645590547,0.5012188629510174,4,3,4,S1,W29U_35D26B470FA840A2B61FA7BD
0.11443221327584618,0.20633729863646516,0.8722716899979837,0.9867039032738298,291402,0.3133229893383538,0.10698569070188864,4,3,4,S1,W29U_D863F5D445E32C9CFE045647
-0.01081287270965825,-0.09828178451436181,0.9575127648964233,0.9466998921867651,291402,0.3463520815800783,0.4446338660944401,3,3,4,S1,W29U_30410D146F275D9B501A8D8B
0.3956372249385611,0.3950469774750546,0.5467600785464737,0.9423973034850348,291402,0.7239671235438233,0.32892014606876874,4,3,4,S1,W29U_AB05A2088E675A5855032D7A
-0.036036862847867224,-0.03329764757903819,0.9557733165384614,0.9197364536905942,291402,0.3407568791083561,0.3740545266873943,3,3,4,S1,W29U_CBC2DCAEF6675B5D9A70E2E5
0.487201616074442,0.5855098252825716,0.4608938301237322,0.9480954461981742,291402,0.7961400033611576,0.21063017807858606,3,3,3,S1,W29U_21A4C462A4AB85B5ED8A8FB9
0.14322603412624169,0.2592542499888726,0.8458549626139532,0.9890809967401949,291402,0.36271181147182924,0.10345756148295665,4,3,4,S1,W29U_229702C2BCB73563FD30EE1D
