checkpoint,stratum,unit_id,native_CF_r90,S_F_CF,S_P_CF,S_P_F,Delta_Align,Delta_PF_Align,dR_F_CF,dR_P_CF,dR_P_F,Delta_d,source_record_index
291402,S1,W29U_2B98D8963199CEBD39881CF3,4,0.41807673268564655,0.76223100367286,0.4985516767074036,0.34415427098721346,0.5014483232925964,0.8875941593311782,0.5539972737950214,0.9484112272012308,0.33359688553615685,0
291402,S1,W29U_11EACAC0A69B433BE5335374,4,0.9754615680301215,0.9945388407855733,0.9621276441404112,0.01907727275545179,0.03787235585958881,0.13007020481678808,0.08718181065685485,0.19025779475536517,0.04288839415993323,1
291402,S1,W29U_CDB45AA59812E048F89D1FEF,3,0.9906481405035592,0.9962874347200685,0.9798741256322027,0.005639294216509327,0.020125874367797336,0.15370350928541485,0.07980264646332469,0.22070478197889043,0.07390086282209016,2
291402,S1,W29U_D8CFC7B512CCF79D00E3DA72,3,0.9864704873341695,0.9949360450879515,0.9718171604499727,0.008465557753781994,0.028182839550027317,0.15526775034537937,0.09525394125140489,0.23323172804391845,0.06001380909397448,3
291402,S1,W29U_0C150BD91825DDE5B26260D3,4,0.9069622533520754,0.9886389220761901,0.9326900162768621,0.08167666872411472,0.0673099837231379,0.3055050501404774,0.10858123000763067,0.2806867574301914,0.19692382013284673,4
291402,S1,W29U_2F5C149851D9AB038AA06566,3,0.6267650765680687,0.7649214045248037,0.7358378502617171,0.13815632795673505,0.2641621497382829,0.8036526592739958,0.5283706369149674,0.5540473228861537,0.2752820223590283,5
291402,S1,W29U_A3B6D3BDB73A7B2D4AE044E2,3,0.8223167703592117,0.7462469160769781,0.6208205958090615,-0.07606985428223356,0.37917940419093854,0.46265487138145694,0.5503336893210428,0.7724797003357939,-0.08767881793958582,6
291402,S1,W29U_AC8C1DB17FDD8141A366E8D2,4,0.5508599582152385,0.8307945885995569,0.5435080506570804,0.27993463038431843,0.4564919493429196,0.845363200767159,0.7712560435712313,1.0812229788943628,0.07410715719592764,7
291402,S1,W29U_B1AA4B604A313D5010E1A61F,3,0.9455641635040183,0.9584854729691425,0.8633020648230563,0.012921309465124264,0.13669793517694373,0.35428955995023903,0.19121704584101334,0.41767994027874683,0.16307251410922569,8
291402,S1,W29U_4BC3ADADD4685C9154124B37,4,0.8383629358693545,0.7143984108763473,0.6212872955942416,-0.12396452499300725,0.37871270440575844,0.5036404409264246,0.5639909016347624,0.7071949014438265,-0.06035046070833783,9
291402,S1,W29U_62F02A00E48B9E836FA9D0FE,3,0.628721221701889,0.9524045998118283,0.6354011104067018,0.3236833781099393,0.3645988895932982,0.8374189193043666,0.3006736971770441,0.7004466617291524,0.5367452221273226,10
291402,S1,W29U_E53925AE8D426CFBA11CA56F,4,0.7543641089237928,0.9263140901621061,0.6658777940785989,0.1719499812383133,0.33412220592140107,0.5565737139500672,0.25891576696574337,0.6744295858788106,0.2976579469843238,11
291402,S1,W29U_5E9585B5B6DBFD2154636B70,3,0.7120120653513836,0.9098398229477511,0.7530037589994244,0.1978277575963675,0.2469962410005756,0.7632643338977322,0.34815620376834283,0.5430058014836388,0.41510813012938935,12
291402,S1,W29U_E9525766D7F0FD19E74D6A7E,3,0.7138758005571164,0.8450902467799034,0.5692001107859338,0.131214446222787,0.4307998892140662,0.5476719797616856,0.4051386674789654,0.8435345509044764,0.1425333122827202,13
291402,S1,W29U_BA70175A76438B66A59B5FB8,4,0.5345438197639398,0.8360577460994225,0.5223211917899808,0.3015139263354827,0.4776788082100192,0.8798190485934502,0.718988932941155,1.0599713518228546,0.1608301156522952,14
291402,S1,W29U_A972A9FE615861DB83C1C26E,4,0.5277415692175542,0.827513912567829,0.5268249335701436,0.2997723433502748,0.4731750664298564,0.8425349112490358,0.7660171717810741,1.0673793407142282,0.0765177394679617,15
291402,S1,W29U_D72E64A6FE3FD6481A8DD4F3,4,0.8488741891904786,0.7313904877658322,0.595779910155409,-0.11748370142464648,0.404220089844591,0.4961312577573081,0.551529220657113,0.7806477857297774,-0.055397962899804865,16
