checkpoint,stratum,median_Delta_align,checkpoint_unit_median_Delta_align,median_Delta_d,median_d_R_F_CF,contrastable
291402,S1,0.0920489386849993,0.0920489386849993,0.13210965932252214,0.4998858493418663,True
291402,S2,0.08192452720326715,0.08192452720326715,0.6778326259419575,1.1226685692330396,True
291403,S1,0.09612783915317691,0.09612783915317691,0.17058325126082685,0.4296284982711141,True
291403,S2,0.09752809005670537,0.09752809005670537,0.44439674877943747,1.096577243237721,True
291404,S1,0.0043430834812842045,0.0043430834812842045,-0.00635308331003219,0.4089841159464872,True
291404,S2,0.0062777582370582286,0.0062777582370582286,0.05492332907914926,1.0602388603477877,True
