checkpoint,stratum,N,median_Delta_Align,median_Delta_PF_Align,median_dR_P_F,median_Delta_d,median_E_local,median_C_R_midpoint,existing_alignment_cell_support,existing_alignment_checkpoint_support,existing_full_dose_cell_support,existing_full_dose_checkpoint_support,new_metric_role
291402,S1,64,0.0920489386849993,0.2350371616352383,0.5036282900500451,0.13210965932252214,0.41870611820360165,0.24066578830389723,True,True,True,True,post_hoc_descriptive_non_gating
291402,S2,64,0.08192452720326715,0.06549687708180874,1.0767027083569922,0.6778326259419575,1.158906915736073,0.5202290892927939,True,True,True,True,post_hoc_descriptive_non_gating
291403,S1,64,0.09612783915317691,0.09760997449577535,0.2733811885293701,0.17058325126082685,0.24801350544392803,0.14382717222512414,True,True,True,True,post_hoc_descriptive_non_gating
291403,S2,64,0.09752809005670537,0.09647652150992087,1.1354648662979714,0.44439674877943747,0.8455275973556116,0.512394447000273,True,True,True,True,post_hoc_descriptive_non_gating
291404,S1,64,0.0043430834812842045,0.0166783447895249,0.13327428292252352,-0.00635308331003219,0.18882758804850192,0.07963293432461849,True,True,False,False,post_hoc_descriptive_non_gating
291404,S2,64,0.0062777582370582286,0.023207945777701244,0.6772517705660293,0.05492332907914926,0.6170871096871906,0.2790494749130188,True,True,True,False,post_hoc_descriptive_non_gating
