checkpoint,stratum,route,median_spearman,evaluable
291402,S1,CF,0.99974387432767,True
291402,S1,P,0.999786561939725,True
291402,S2,CF,0.999615811491505,True
291402,S2,P,0.9995304362673951,True
291403,S1,CF,0.9995731238794501,True
291403,S1,P,0.9996584991035601,True
291403,S2,CF,0.999615811491505,True
291403,S2,P,0.999615811491505,True
291404,S1,CF,0.9998719371638352,True
291404,S1,P,0.9998719371638352,True
291404,S2,CF,0.9995304362673951,True
291404,S2,P,0.9994023734312303,True
