C_R_midpoint,E_int16,E_int32,E_int8,E_local,I16_I8_relative,I32_I16_relative,checkpoint,stratum,unit_id
0.41611336783659264,2.829204982352393e-05,1.8092118519707034e-06,0.002726104683066867,0.7552713221451259,0.0026990864083448595,2.6555573555480425e-05,291402,S1,W29U_2B98D8963199CEBD39881CF3
0.12329651938764882,1.6747973637153332e-06,1.667513777201638e-06,2.1740812715183617e-06,0.18426265203522676,1.2750914366049795e-06,9.649218872721909e-08,291402,S1,W29U_11EACAC0A69B433BE5335374
0.11874013682299377,1.7328355990946773e-06,1.79210830862178e-06,1.8307822363291124e-06,0.09566768800294619,1.3351149948098792e-06,1.5430456243726692e-07,291402,S1,W29U_CDB45AA59812E048F89D1FEF
0.09946263016083118,2.6033413488008986e-06,2.639678425524935e-06,2.474942407810949e-06,0.23074876724834015,1.1030055027827572e-06,8.611227814227742e-08,291402,S1,W29U_D8CFC7B512CCF79D00E3DA72
0.08406274020713482,1.9727468809912767e-06,1.9565152724280597e-06,2.637531870730394e-06,0.14303877415871352,1.002412724425033e-06,4.7332217217667817e-08,291402,S1,W29U_0C150BD91825DDE5B26260D3
0.17920791710639977,1.167436359419878e-06,7.632332721869276e-07,1.4743392803112407e-05,0.3346006309807545,1.3848445802304745e-05,8.858862847053024e-07,291402,S1,W29U_2F5C149851D9AB038AA06566
0.6131160028903353,5.476652480280088e-06,8.955891012316963e-07,0.00013391676684952218,0.7885599868431271,0.0001285393704039349,5.1181901766962945e-06,291402,S1,W29U_A3B6D3BDB73A7B2D4AE044E2
0.2471309102401976,1.0974350853789273e-05,7.579104369448674e-07,0.00021660690019757172,1.540307302861543,0.00020590807753012065,1.0507926576504155e-05,291402,S1,W29U_AC8C1DB17FDD8141A366E8D2
0.4260298760308936,1.8900690100988345e-06,9.513163460526053e-07,2.5676692896282386e-05,0.390774587349895,2.3999217280981305e-05,1.3793074364443668e-06,291402,S1,W29U_B1AA4B604A313D5010E1A61F
0.5420060510184062,3.105045744572284e-05,2.037492791331704e-06,0.0021290303247310004,0.4363446005686164,0.002100564842641981,2.9219141339278374e-05,291402,S1,W29U_4BC3ADADD4685C9154124B37
0.2168250716062163,2.3779318076840367e-06,1.0150976749443194e-06,3.488480005891122e-05,0.6389913528636872,3.2722963374824375e-05,1.9983394173450377e-06,291402,S1,W29U_62F02A00E48B9E836FA9D0FE
0.2378247187385781,6.703584646851872e-06,8.111290027780469e-07,9.845669898709212e-05,0.8040391290851497,9.180641736239633e-05,6.556074872436702e-06,291402,S1,W29U_E53925AE8D426CFBA11CA56F
0.4899099276607737,8.307789562671278e-06,9.132006353489341e-07,0.00013995980158786574,0.2567783440013222,0.0001316749881565482,7.617993931712973e-06,291402,S1,W29U_5E9585B5B6DBFD2154636B70
0.20425837679272174,5.7001394011755365e-06,7.09621674678604e-07,0.00010852403532913986,1.2135981993106155,0.00010346885998341854,5.469988388329623e-06,291402,S1,W29U_E9525766D7F0FD19E74D6A7E
0.29016851791639403,1.5557814473159513e-05,1.2640250708607627e-06,0.0002704321061863222,1.2632324417334857,0.0002555521335858514,1.4468457675306304e-05,291402,S1,W29U_BA70175A76438B66A59B5FB8
0.2706993256147164,8.645449631788678e-06,8.08602010387909e-07,0.000136599981349874,1.3585843246484457,0.00012843507910780143,8.06008285644553e-06,291402,S1,W29U_A972A9FE615861DB83C1C26E
