checkpoint,stratum,metric,N,median,Q25,Q75,mean,min,max,fraction_gt_0,role,existing_alignment_cell_support,existing_alignment_checkpoint_support
291402,S1,Delta_Align,64,0.0920489386849993,-0.005409791930146818,0.22620269150496095,0.10525150898993346,-0.2903285974358708,0.5069006738596309,0.734375,frozen_confirmatory,True,True
291402,S1,Delta_PF_Align,64,0.2350371616352383,0.05731565819525927,0.4043497629319729,0.23385815313509045,0.020125874367797336,0.5014483232925964,1.0,post_hoc_descriptive_non_gating,,
291402,S2,Delta_Align,64,0.08192452720326715,0.03437641314558609,0.23466524200581415,0.13236935531750632,0.00902234386219447,0.47463175898568344,1.0,frozen_confirmatory,True,True
291402,S2,Delta_PF_Align,64,0.06549687708180874,0.031279241929881685,0.19846041860932903,0.13621165154409354,0.008060330130071569,0.6436540580670327,1.0,post_hoc_descriptive_non_gating,,
291403,S1,Delta_Align,64,0.09612783915317691,0.033839411830946464,0.20836696651359476,0.12719788944594088,-0.05148159311686695,0.3682502185338945,0.984375,frozen_confirmatory,True,True
291403,S1,Delta_PF_Align,64,0.09760997449577535,0.045520410868589045,0.24746729604950643,0.1522018328870685,0.012178225472879278,0.4204727988297454,1.0,post_hoc_descriptive_non_gating,,
291403,S2,Delta_Align,64,0.09752809005670537,0.041882379649789886,0.160689598001227,0.11719871834140339,0.009157648101344007,0.3702699541644092,1.0,frozen_confirmatory,True,True
291403,S2,Delta_PF_Align,64,0.09647652150992087,0.04837719784981856,0.1722037701997337,0.13286580270062992,0.012008800359960436,0.40332724102578865,1.0,post_hoc_descriptive_non_gating,,
291404,S1,Delta_Align,64,0.0043430834812842045,-0.034765986198370874,0.039377535869156516,0.015336140813228226,-0.15564921791168407,0.31918202041591565,0.53125,frozen_confirmatory,True,True
291404,S1,Delta_PF_Align,64,0.0166783447895249,0.007487482872392676,0.07901371147679848,0.05145849206913353,0.0015232676890712948,0.35102782272702404,1.0,post_hoc_descriptive_non_gating,,
291404,S2,Delta_Align,64,0.0062777582370582286,-0.0015063806772705468,0.07960122487705926,0.03885017949310601,-0.34688702064476595,0.2689910009309373,0.703125,frozen_confirmatory,True,True
291404,S2,Delta_PF_Align,64,0.023207945777701244,0.004209939927963119,0.0883416778189631,0.06360417380669334,0.0003612117501160528,0.31948816241212685,1.0,post_hoc_descriptive_non_gating,,
