checkpoint,k,in_p2_window,unit_count,rank_QF_min,rank_QF_max,mean_projector_trace,projector_top4_trace_fraction,projector_top8_trace_fraction,projector_top16_trace_fraction,projector_eigen4,fixed_U4_mean,fixed_U4_q10,fixed_U4_median,fixed_U4_q90,capture_F_mean,capture_F_q10,capture_F_median,capture_F_q90,capture_P_mean,capture_P_q10,capture_P_median,capture_P_q90,propagation_residual_mean,propagation_residual_q10,propagation_residual_median,propagation_residual_q90,cosine_mean,cosine_q10,cosine_median,cosine_q90,gain_mean,gain_q10,gain_median,gain_q90,residual_fraction_mean,residual_fraction_q10,residual_fraction_median,residual_fraction_q90,delta_norm_mean,delta_norm_q10,delta_norm_median,delta_norm_q90,residual_aggregate_energy_fraction,residual_spectrum_interpretable_numerically,raw_C1,raw_C2,raw_C4,raw_C8,raw_C16,raw_C32,raw_C64,raw_row_count,row_normalized_C1,row_normalized_C2,row_normalized_C4,row_normalized_C8,row_normalized_C16,row_normalized_C32,row_normalized_C64,row_normalized_row_count,transport_residual_raw_C1,transport_residual_raw_C2,transport_residual_raw_C4,transport_residual_raw_C8,transport_residual_raw_C16,transport_residual_raw_C32,transport_residual_raw_C64,transport_residual_raw_row_count,transport_residual_normalized_C1,transport_residual_normalized_C2,transport_residual_normalized_C4,transport_residual_normalized_C8,transport_residual_normalized_C16,transport_residual_normalized_C32,transport_residual_normalized_C64,transport_residual_normalized_row_count,raw_split_overlap_r4,raw_split_overlap_r8,raw_split_overlap_r16,row_normalized_split_overlap_r4,row_normalized_split_overlap_r8,row_normalized_split_overlap_r16,transport_residual_raw_split_overlap_r4,transport_residual_raw_split_overlap_r8,transport_residual_raw_split_overlap_r16,transport_residual_normalized_split_overlap_r4,transport_residual_normalized_split_overlap_r8,transport_residual_normalized_split_overlap_r16
291402,0,True,1024,4,4,3.9999999999999893,1.0000000000000022,1.0000000000000078,1.0000000000000135,0.9999999999999978,0.9999999885172288,0.9999999718442717,0.9999999866727307,1.0000000082179408,0.9999999999999827,0.9999999999999528,0.9999999999999916,0.999999999999998,0.9999999999999825,0.9999999999999529,0.9999999999999916,0.9999999999999979,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.7591352972355695e-14,2.4284719673761475e-15,8.420497880982549e-15,4.7141604782031014e-14,3.0186139420294973,1.2211659528984253,2.5524829948267325,5.304207039724246,6.228464811171348e-15,False,0.5932386609055,0.9456116658092475,0.9999999999999937,0.9999999999999951,0.9999999999999971,0.9999999999999999,0.9999999999999999,1024,0.47209974189306847,0.9089304819346034,0.9999999999999826,0.9999999999999872,0.9999999999999936,1.0,1.0,1024,0.06648386552603724,0.12840479206689304,0.2349571626408895,0.4183832769227485,0.7194212337339141,0.9999999999999865,0.9999999999999865,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9999999999999991,,,0.9999999999999987,,,,,,,,
291402,1,True,1024,4,4,3.9999999999999987,0.6619329468469541,0.9134372711516758,0.9867962025989482,0.591382646921412,0.05007885833949404,0.011162911049174275,0.042025574950553576,0.10654405198180988,0.8188506427930817,0.5723893037632702,0.8687195364706017,0.9722966583189251,0.8600275927577247,0.6726343650250998,0.902358900443881,0.9755950848741255,0.42882087689029164,0.18581535827714077,0.4030416681475214,0.7100516063633472,0.8916990381315071,0.7431621318996163,0.9250226655864702,0.984224539881592,0.7914189687816671,0.6050307008514269,0.776559566088114,1.0163195000367857,0.1811493572069183,0.027703341681074765,0.13128046352939915,0.42761069623672954,2.535907273495608,0.9223510591255366,2.1446285217406245,4.994064648568671,0.3232562353463818,True,0.33676723608123615,0.6031904072760728,0.8122717538851321,0.9360212161477818,0.9876335373685154,0.9979861058762587,0.9997984872475149,1024,0.3230662115634585,0.590844234067661,0.7987589613777559,0.9254113117946081,0.9828116926489427,0.9971261150869299,0.9997166100750854,1024,0.30330547284318576,0.5296581041437012,0.7515015657345298,0.9068604392503855,0.9775579436015643,0.9956078756497989,0.9995935597077521,1024,0.27034769802873415,0.4636252756070759,0.6558535548382621,0.8443122784072715,0.9535501273758544,0.9901210815654369,0.998989330052102,1024,0.9841006257544178,0.9489306294323824,0.9805628672862152,0.9318960311910184,0.9444352183435221,0.9702031617920368,0.9756503648644733,0.9408007104538187,0.9461406014131943,0.9727663696399154,0.970492668475289,0.9761302093472491
291402,2,True,1024,4,4,4.000000000000001,0.6633669264804544,0.9189942795578763,0.9876112940133905,0.5788136962510596,0.05453043262999192,0.009870416390149746,0.0473270961344496,0.11768468530493885,0.8274454416494306,0.5861807185709061,0.8750888219655185,0.9745209100198099,0.8686985654688555,0.6802880672892695,0.9152425368886359,0.9774681798720434,0.41853486026244735,0.1796861572484966,0.3942731165383205,0.7039260892874395,0.895693001230651,0.7520862416808151,0.9276230995854661,0.9849714991200084,0.7781886938165858,0.5622449829160256,0.767720618161785,0.9938632199535937,0.1725545583505696,0.025479089980189405,0.12491117803448185,0.4138192814290953,2.5196552527628464,0.8925079714604575,2.136820155020269,4.87487901018798,0.307230005643045,True,0.3215867845328267,0.5926647168486099,0.8308948961350873,0.943105864864235,0.989483946476473,0.9982994634690577,0.9998338095577102,1024,0.3256394149103096,0.5846523325961892,0.8159611406859935,0.9351115740313133,0.9855716144988185,0.9976321484500089,0.9997685128586327,1024,0.31719019519930924,0.5575195227050678,0.7771688090188191,0.9138747505341256,0.9780529313409223,0.9959561524915225,0.9996455376451864,1024,0.28002672607269125,0.4900345265414121,0.6764072973077205,0.8534686671891405,0.9553948714444152,0.9909831856120092,0.9990943776521894,1024,0.9862034392160429,0.9626888799265887,0.9797284711998431,0.963034852384552,0.9786784635527073,0.9880494759597664,0.9783617055309408,0.9473169019319974,0.9434411861066696,0.9752416189164252,0.9760071357044002,0.9758121769929717
291402,3,True,1024,4,4,4.000000000000001,0.6540780979384613,0.9165748970233615,0.9877107327203811,0.5477406641570518,0.060549880478195095,0.008628635075490394,0.05077334731949576,0.1321437983073824,0.8322850807607894,0.589933858665105,0.8848253715140025,0.9761612294221034,0.8734900956599532,0.6941242191449507,0.9208976983060115,0.9790511961430922,0.4146363288237317,0.17174404009780855,0.39343919183021026,0.7069416426173283,0.8972427718595817,0.7453951015986265,0.9295763840019152,0.9862086220936956,0.8051307507700981,0.5559957219232377,0.8037825137297936,1.014239163757528,0.16771491923921064,0.023838770577896955,0.11517462848599766,0.41006614133489544,2.6441837241855293,0.9328721586693371,2.209868492123766,5.077834946653995,0.2913842847590554,True,0.33221492972851346,0.581318484202251,0.8428551710155342,0.9500873865329728,0.990351522788823,0.9984561703745366,0.9998477470398393,1024,0.33139111912617253,0.569365483392549,0.8288184251280379,0.9420777420726197,0.9873045171394589,0.9979095778506877,0.9997920737189627,1024,0.3095606260566429,0.5567181589562974,0.7920376315722806,0.918022410298151,0.9780640036234659,0.9959205625359808,0.9996396623859876,1024,0.29438383596384954,0.5232182427436947,0.6993687686636569,0.8618858821977705,0.955149012616386,0.9910352814609992,0.9991025892308543,1024,0.9889910145070536,0.982951018981979,0.9804857784465736,0.9686737083883671,0.9527368804857033,0.9906051047670497,0.9902547900433507,0.9237900422179346,0.9626649263148861,0.9728163822487716,0.9785891672589888,0.9270095807990723
291402,4,True,1024,4,4,4.0,0.6433687967150227,0.9147185052605606,0.9877328633192362,0.5228469568502362,0.06755969132527492,0.0070599078237671845,0.060823132679656014,0.13950404817324305,0.8332634846840936,0.5769021081946338,0.8859598680629304,0.9772329280531066,0.8683984402562388,0.6885325863709947,0.9185199066032228,0.9796174291544687,0.4228820397605293,0.1739485831433019,0.3913653253221061,0.7157976538427324,0.8961800386866825,0.7288718478388607,0.9313535167604542,0.9862929677344503,0.8963105494493137,0.6095210234552879,0.9012047349277448,1.2094415104411032,0.16673651531590655,0.02276707194689247,0.11404013193706991,0.4230978918053655,2.93313329888002,1.0152217784952566,2.469241926165313,5.263131159603866,0.27736694894108743,True,0.43778399754771036,0.6242813055760901,0.8606205843866742,0.9553740764972947,0.9913579574006814,0.9985690070411323,0.9998627311276674,1024,0.35180361972042945,0.5743401031185886,0.8425870328238672,0.9489638166232129,0.9886233549269632,0.998164718490846,0.9998163043802288,1024,0.3226882698588789,0.5683794263006269,0.7834857524424135,0.917859925280383,0.9776457793720656,0.9959412296337253,0.9996153738363949,1024,0.2977128743843918,0.5451462913124875,0.709440801496248,0.8670789173084368,0.9572013161434642,0.9913687193795441,0.9990961044684387,1024,0.9923684465622143,0.9768249255358601,0.9649319554761652,0.9616416596929592,0.9853380572869443,0.9875617030197796,0.9883548308690719,0.956423140748679,0.9437167383484371,0.9584759951827708,0.9694218216701779,0.9632339654359412
291402,5,True,1024,4,4,3.9999999999999996,0.6476835092353176,0.9124401452873717,0.9864212125558016,0.5515930291033693,0.06574134877140975,0.005577132441519415,0.059110060637138834,0.1356433333950774,0.8231052867698954,0.5689297085138956,0.8731730553765683,0.9740050118853437,0.8447170036992038,0.6505700770653919,0.8872250712861027,0.9790397472467671,0.46113568761251406,0.18593878785032544,0.40684634511719237,0.7474091752495561,0.8892070868477009,0.7327036518701938,0.9260541781214974,0.9845936552620129,1.0979328470662164,0.6530983975559658,0.9662934451749166,1.754446600239925,0.17689471323010475,0.02599498811465611,0.1268269446234318,0.431070291486105,3.302968633740549,1.108210638769029,2.74257370124245,6.064745562857239,0.28820469432227863,True,0.5154253489217695,0.6656343057180907,0.87221532887084,0.9597015268832834,0.9918494700389952,0.9986499511989975,0.999872759380197,1024,0.3791543498533415,0.6095729895175164,0.8492346973456036,0.9513956691181674,0.9899704968626334,0.9983032489416163,0.9998377624473216,1024,0.39038586522876956,0.5921824647236917,0.7835838282102949,0.9194956136827216,0.9764963243100824,0.9958193882764149,0.9996073311265099,1024,0.28351822773025587,0.5417880455412063,0.7072541109384298,0.8785386290901039,0.9589085395642346,0.9918311285638762,0.9991774871066142,1024,0.9873894123391325,0.9793464158088745,0.9321811003198928,0.993626254349159,0.9872704045146388,0.9833166326213261,0.9781361909797817,0.9473071285620338,0.9209583295554841,0.9400278433666313,0.9861641056731237,0.9645338532348049
291402,6,True,1024,4,4,4.000000000000002,0.6576168814033477,0.9044743331996581,0.9852227724392641,0.5563552471123285,0.05118188670435404,0.00448776589302581,0.03701692709110468,0.12307341821816849,0.8092851735169846,0.5683965945949502,0.8531568566296862,0.9665808477101945,0.8142573930554622,0.594515427973661,0.8584160535587362,0.9720767142162193,0.541052131385371,0.2112582586204115,0.45911757883108006,0.8390854464736498,0.879416392684768,0.7297500298448527,0.9129617388792937,0.9801913501880279,1.3427829508308653,0.6548914586558781,1.0365668607600456,2.394252693558657,0.19071482648301546,0.03341915228980604,0.14684314337031357,0.43160340540504993,3.5242209468496197,1.1507631581504478,3.0663298521021085,6.442204114826561,0.2954314053532308,True,0.541118159802338,0.6857744324207815,0.8749586850050652,0.9600683247876812,0.9917147535517788,0.998699647194969,0.9998768776671375,1024,0.40323961487371035,0.6292357027845652,0.853856417130685,0.9516825700453799,0.9892479812886011,0.9983322593074253,0.9998445282669121,1024,0.35953808211631755,0.5377319135696919,0.7220936632636196,0.8994869805673937,0.9742471474358937,0.9953153435123752,0.9995623518947622,1024,0.3065090813828745,0.5128345680622848,0.6740048056176287,0.8483426883372472,0.9556215453410086,0.9915907006817914,0.9992164408013873,1024,0.9838886186221367,0.9710364056625886,0.9609058123915555,0.9904451152490771,0.9797537487354409,0.9861508106394073,0.9069620368937465,0.9070041719794675,0.9404296990430289,0.8567323313049588,0.9563104394656058,0.9225925799304898
291402,7,True,1024,4,4,4.000000000000001,0.6624957037503529,0.9034863452702726,0.9834967179284736,0.5493912488445533,0.03688099158114444,0.0029668897963036067,0.01979339820761182,0.11064449932901477,0.8024688177409119,0.5601484702068376,0.8468805603423963,0.965766475595445,0.7937367883826316,0.553055986215886,0.8409782827255778,0.9698739283893769,0.601763797113955,0.23227061838160126,0.5066911077783904,1.021433964048885,0.8737311035480282,0.7073240991701141,0.9099574495189002,0.9802114989371757,1.353841274592478,0.6415096104622445,0.9839051047619678,2.6179833465821676,0.19753118225908833,0.03423352440455479,0.15311943965760444,0.4398515297931624,3.4570954047167985,1.1083237189053816,3.015171614545146,6.413284764353772,0.31336781235851685,True,0.5594794789076724,0.6955935623381618,0.8639564615886766,0.9569133780230511,0.9912533884360165,0.9987165603669801,0.9998789706440033,1024,0.4181791797823223,0.6372471828483911,0.8384295542040938,0.9403441506331852,0.9879908619199771,0.9982054537214284,0.9998318285247082,1024,0.3227976420382783,0.4927114562832408,0.7044041545515972,0.8968543384277445,0.9733949571470296,0.9954272101235533,0.9995384366977776,1024,0.29262610144217516,0.44906556706200307,0.6543535535389329,0.8444855645603222,0.9527912313732253,0.9911779647506584,0.9991225840362347,1024,0.9843017724546366,0.9707729490062047,0.9278645855547754,0.9870520724914356,0.9480983370202188,0.9845681077800655,0.9205727538165016,0.9245940142269594,0.9381164321512441,0.9344693632299593,0.975800934968448,0.9647600450343059
291402,8,True,1024,4,4,4.000000000000002,0.6555321142512552,0.9013198286076697,0.9854080308289912,0.5478962251683459,0.028815045966096645,0.0018912090929746838,0.013988474057965283,0.08584769783755221,0.7981154023494228,0.5520208652600483,0.8452829031413195,0.9668605630885694,0.8034537627309031,0.558981081389405,0.861768020067061,0.9700271120916818,0.5717651323463668,0.23459642721785134,0.5118138507663655,0.860411880158733,0.8722643006510047,0.7040981562056251,0.9085903620907354,0.9797296538261943,1.0935729834098682,0.5902984789419825,0.9198377790351265,2.0336999591638847,0.20188459765057742,0.03313943691143078,0.1547170968586804,0.447979134739952,3.257316456802001,1.0046028462150318,2.6207326495772265,6.4178468309630965,0.3419569163395971,True,0.5683781604571579,0.7078062049834273,0.8595500757784333,0.9561936378204661,0.9915853323190255,0.9987654228578252,0.9998798120534266,1024,0.403056944620452,0.6238704928642284,0.8213141216256705,0.9361729325838264,0.9864728089382936,0.9980637413171489,0.9998097631856986,1024,0.32769596124580136,0.5137668309261818,0.7370555142707895,0.9082731992552207,0.9758418239607907,0.9958161326325925,0.9995862216046748,1024,0.29035219549386715,0.46222245055784583,0.6505094653524136,0.8423111056842445,0.9524640329180679,0.9905516212188947,0.9990310946220761,1024,0.9899220784860947,0.9599918367849478,0.9607637454418243,0.9754874415882212,0.976519527466139,0.9353950903954849,0.9584783633217526,0.8592699989104997,0.9172358809083099,0.9404415260926224,0.9653547570311718,0.9692486077338078
291402,9,False,1024,4,4,3.9999999999999973,0.6490191688968797,0.903632843863895,0.9864612689826392,0.5487676286692916,0.02607402878211916,0.0019178760600870098,0.012746297350594914,0.07587675186576212,0.7970110088541299,0.5419620886176438,0.8442795804263196,0.9700792811493814,0.8239120822535572,0.5727688730914751,0.8809736540685986,0.973397653048284,0.519074165529267,0.21508084130372426,0.4999016392915025,0.7775649882064618,0.8727201926341359,0.7017111051970775,0.9084971169501789,0.9811244628387005,0.8611525918805712,0.5333018015270571,0.8108603081129244,1.163250370366085,0.20298899114587024,0.029920718850618533,0.15572041957368046,0.4580379113823568,3.0327209555614525,0.8897681573896014,2.4310908145905605,6.36341647588012,0.37043315344107675,True,0.5474296190513538,0.6997081041063175,0.8605994169359962,0.9554897700350925,0.9916072559873631,0.9987409202241377,0.9998813484994012,1024,0.38069562543094826,0.6082475787778001,0.8142102399179764,0.9337224868532514,0.9853100076259648,0.9978654694352009,0.9997908228879868,1024,0.37678787565354394,0.5720215045841766,0.7614415624813211,0.919622123134533,0.9791687647968309,0.9963431487118859,0.9996419520192062,1024,0.2961557006850091,0.4722965601994541,0.6605258273174467,0.8429886209842029,0.9531543696513889,0.9901499273798883,0.9989720633525073,1024,0.9907843383679983,0.9573389095323797,0.9355490529595416,0.9767385575830474,0.9818173104096175,0.9237962855172153,0.9604267061905342,0.8667311629840453,0.9270259350098505,0.9289979062169336,0.8904363442537397,0.9664553714017758
