seed,rank,stratum,route,role,denominator,joint_pass_count,joint_coverage,M1_median,M2_median,M3_median,M4_median,M5_median,M6E_pass,M7_pass,capacity_or_registered_cell_pass,failed_gates,semantic_random_control,measurement_reuse
390991,6,S2_EDIT_AFFECTS_FUTURE_CONTACT,A_affine,REGISTERED_AFFINE_REFERENCE,256,240,0.9375,0.08573521646471072,0.21662792189244384,0.1708270810719505,0.10982847375669086,1.5043479390442371,True,True,True,,PREDECESSOR_PASS,PER_SEED_RANK
390991,6,S1_NO_CONTACT_WITHIN_HORIZON,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,247,0.96484375,0.09003613670316338,0.26625319309092044,0.09342989774144536,0.10315632137230381,0.5623544566333294,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390991,6,S2_EDIT_AFFECTS_FUTURE_CONTACT,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,244,0.953125,0.08683945102795906,0.2079178112545459,0.10616485795326461,0.09153991736444483,1.553355623036623,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390991,6,S1_NO_CONTACT_WITHIN_HORIZON,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.026380621194710845,0.06204937856896692,0.027998998495086837,0.032198607450884376,0.6118332501500845,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390991,6,S2_EDIT_AFFECTS_FUTURE_CONTACT,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02407887291935753,0.08002949895132738,0.041340634334536296,0.04276100476666414,1.3050084002315998,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390991,8,S1_NO_CONTACT_WITHIN_HORIZON,A_affine,REGISTERED_AFFINE_REFERENCE,256,256,1.0,0.11914146812655252,0.12944942710450227,0.08019807619975472,0.04810372856103545,0.6149561610072851,True,True,True,,PREDECESSOR_PASS,PER_SEED_RANK
390991,8,S2_EDIT_AFFECTS_FUTURE_CONTACT,A_affine,REGISTERED_AFFINE_REFERENCE,256,247,0.96484375,0.029405791459131803,0.12344078911996947,0.14034085645810002,0.09161010020112664,1.7031964845955372,True,True,True,,PREDECESSOR_PASS,PER_SEED_RANK
390991,8,S1_NO_CONTACT_WITHIN_HORIZON,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,256,1.0,0.02695276595883217,0.06420961407670261,0.032353243348936606,0.03522352067301888,0.6287537980824709,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390991,8,S2_EDIT_AFFECTS_FUTURE_CONTACT,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,256,1.0,0.029206711226352676,0.08915674474863189,0.05641656478182713,0.044436576728590714,1.4487255364656448,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390991,8,S1_NO_CONTACT_WITHIN_HORIZON,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.026380621194710845,0.06204937856896692,0.027998998495086837,0.032198607450884376,0.6118332501500845,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390991,8,S2_EDIT_AFFECTS_FUTURE_CONTACT,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02407887291935753,0.08002949895132738,0.041340634334536296,0.04276100476666414,1.3050084002315998,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
