seed,rank,stratum,baseline_eligible,joint_pass_count,joint_coverage,eligible_count,static_controls_pass,random_negative_pass,cell_support,failed_gates,M1_median,M2_median,M3_median,M4_median,M5_median,M1_threshold,M2_threshold,M3_threshold,M4_threshold,M5_threshold
390991,1,S1_NO_CONTACT_WITHIN_HORIZON,True,173,0.67578125,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.28335234437879075,0.3815395770577634,0.15988624946101476,0.05100003458692186,0.3344983095303178,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390991,1,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,176,0.6875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.2799125567091265,0.39352214653192386,0.2523417806112412,0.06052316643546003,1.5353054739534855,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390992,1,S1_NO_CONTACT_WITHIN_HORIZON,True,173,0.67578125,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.3317461476342921,0.38069635921388223,0.1797898463015374,0.03285042779498668,0.2249517710879445,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390992,1,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,176,0.6875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.3353396653645458,0.41478719470648784,0.2843925151901625,0.0497962333478599,0.8648152463138103,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390993,1,S1_NO_CONTACT_WITHIN_HORIZON,True,171,0.66796875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.34215881843638296,0.38254855018077877,0.18523683121142376,0.02920495328593544,0.6569429766386747,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390993,1,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,177,0.69140625,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.29476602454515,0.3888876674168543,0.22762243447470482,0.06303382642160632,1.3446382246911526,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390991,2,S1_NO_CONTACT_WITHIN_HORIZON,True,174,0.6796875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.2854987681489496,0.38179842496755617,0.1642672871881003,0.05078733619285615,0.6726948078721762,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390991,2,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,176,0.6875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.25178260392736185,0.3909210784213559,0.21831032623621371,0.0865223279550038,1.507434155791998,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390992,2,S1_NO_CONTACT_WITHIN_HORIZON,True,173,0.67578125,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.3178220387118589,0.3859918524458359,0.17462838153964816,0.04525003003247524,0.5781400483101606,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390992,2,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,178,0.6953125,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.27207523937358746,0.3971773794890342,0.23059150050717858,0.0986181605376441,1.3023440260440111,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390993,2,S1_NO_CONTACT_WITHIN_HORIZON,True,174,0.6796875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.313722447412365,0.3818054589998029,0.17319003147144885,0.046761715360284575,0.5407942458987236,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390993,2,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,176,0.6875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.23926037616125517,0.3824586363764505,0.23134675250449108,0.09149906509037531,1.596049964427948,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390991,4,S1_NO_CONTACT_WITHIN_HORIZON,True,176,0.6875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.2452962841094132,0.3813153056982247,0.14594863776359834,0.08666980003196467,0.8500779047608376,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
